id,Pastry,Z_Scratch,K_Scatch,Stains,Dirtiness,Bumps,Other_Faults
19219,0.45,0.01,0.0,0.0,0.03,0.31,0.42
19220,0.25,0.02,0.02,0.0,0.07,0.19,0.44
19221,0.0,0.06,0.04,0.0,0.01,0.31,0.49
19222,0.22,0.03,0.0,0.01,0.0,0.4,0.41
19223,0.0,0.01,0.0,0.01,0.0,0.62,0.29
19224,0.2,0.48,0.01,0.0,0.02,0.22,0.39
19225,0.23,0.02,0.0,0.0,0.0,0.03,0.61
19226,0.01,0.11,0.0,0.0,0.02,0.21,0.46
19227,0.0,0.26,0.11,0.0,0.0,0.1,0.34
19228,0.36,0.04,0.0,0.0,0.0,0.18,0.45
19229,0.0,0.01,0.0,0.0,0.0,0.33,0.4
19230,0.0,0.0,0.96,0.0,0.0,0.0,0.0
19231,0.0,0.0,0.98,0.0,0.0,0.0,0.03
19232,0.14,0.14,0.0,0.0,0.02,0.08,0.64
19233,0.0,0.01,0.0,0.0,0.0,0.44,0.34
19234,0.01,0.03,0.0,0.0,0.01,0.39,0.61
19235,0.04,0.01,0.0,0.0,0.01,0.48,0.47
19236,0.16,0.03,0.12,0.01,0.22,0.32,0.5
19237,0.13,0.0,0.0,0.0,0.01,0.53,0.31
19238,0.0,0.44,0.0,0.01,0.0,0.3,0.33
19239,0.0,0.0,0.86,0.0,0.01,0.0,0.06
19240,0.06,0.0,0.0,0.0,0.0,0.11,0.64
19241,0.01,0.01,0.0,0.0,0.03,0.44,0.43
19242,0.0,0.0,0.97,0.0,0.0,0.0,0.06
19243,0.15,0.37,0.02,0.0,0.02,0.31,0.41
19244,0.0,0.0,0.99,0.0,0.0,0.0,0.02
19245,0.23,0.1,0.0,0.0,0.01,0.16,0.54
19246,0.3,0.03,0.0,0.0,0.05,0.24,0.36
19247,0.01,0.21,0.04,0.0,0.02,0.25,0.35
19248,0.0,0.0,0.75,0.0,0.0,0.0,0.19
19249,0.01,0.05,0.0,0.0,0.0,0.58,0.41
19250,0.0,0.01,0.0,0.66,0.0,0.0,0.32
19251,0.09,0.0,0.0,0.0,0.0,0.63,0.25
19252,0.0,0.07,0.0,0.0,0.01,0.49,0.27
19253,0.02,0.0,0.5,0.0,0.0,0.15,0.43
19254,0.0,0.05,0.0,0.02,0.01,0.36,0.55
19255,0.33,0.01,0.0,0.0,0.0,0.17,0.45
19256,0.01,0.62,0.0,0.0,0.0,0.23,0.24
19257,0.15,0.03,0.0,0.0,0.1,0.31,0.27
19258,0.44,0.01,0.0,0.0,0.0,0.2,0.36
19259,0.0,0.0,0.97,0.0,0.0,0.0,0.02
19260,0.04,0.17,0.0,0.0,0.09,0.35,0.45
19261,0.12,0.02,0.46,0.0,0.05,0.11,0.36
19262,0.21,0.03,0.0,0.0,0.01,0.18,0.24
19263,0.1,0.01,0.0,0.01,0.0,0.58,0.31
19264,0.05,0.04,0.0,0.0,0.02,0.62,0.46
19265,0.15,0.03,0.0,0.06,0.02,0.42,0.58
19266,0.0,0.0,0.88,0.0,0.0,0.0,0.18
19267,0.16,0.0,0.0,0.0,0.04,0.28,0.42
19268,0.0,0.06,0.0,0.0,0.01,0.23,0.76
19269,0.0,0.0,0.86,0.0,0.0,0.0,0.06
19270,0.28,0.01,0.03,0.0,0.44,0.02,0.4
19271,0.01,0.02,0.05,0.0,0.03,0.4,0.48
19272,0.34,0.06,0.16,0.0,0.18,0.27,0.37
19273,0.02,0.01,0.0,0.04,0.02,0.49,0.47
19274,0.01,0.0,0.0,0.0,0.02,0.62,0.25
19275,0.02,0.0,0.0,0.0,0.01,0.51,0.33
19276,0.07,0.07,0.14,0.0,0.12,0.32,0.37
19277,0.0,0.02,0.0,0.0,0.08,0.3,0.52
19278,0.17,0.15,0.01,0.0,0.03,0.26,0.5
19279,0.03,0.0,0.01,0.03,0.0,0.2,0.5
19280,0.1,0.08,0.02,0.0,0.04,0.27,0.37
19281,0.0,0.0,0.93,0.0,0.0,0.0,0.05
19282,0.08,0.02,0.0,0.0,0.0,0.56,0.34
19283,0.0,0.07,0.48,0.0,0.01,0.05,0.37
19284,0.11,0.03,0.08,0.0,0.08,0.19,0.47
19285,0.15,0.05,0.46,0.0,0.01,0.03,0.27
19286,0.17,0.05,0.26,0.0,0.06,0.11,0.25
19287,0.06,0.02,0.0,0.0,0.04,0.25,0.35
19288,0.02,0.01,0.0,0.0,0.01,0.64,0.35
19289,0.05,0.01,0.0,0.0,0.0,0.74,0.21
19290,0.05,0.0,0.03,0.0,0.1,0.3,0.35
19291,0.0,0.0,0.95,0.0,0.0,0.0,0.03
19292,0.18,0.03,0.0,0.0,0.0,0.4,0.35
19293,0.03,0.15,0.0,0.0,0.0,0.25,0.76
19294,0.06,0.06,0.0,0.01,0.0,0.4,0.34
19295,0.0,0.03,0.01,0.0,0.01,0.44,0.43
19296,0.0,0.01,0.0,0.0,0.0,0.69,0.27
19297,0.18,0.03,0.02,0.0,0.02,0.36,0.56
19298,0.03,0.0,0.02,0.0,0.2,0.18,0.52
19299,0.19,0.23,0.02,0.0,0.05,0.25,0.42
19300,0.0,0.0,0.93,0.0,0.0,0.0,0.07
19301,0.0,0.0,0.92,0.0,0.0,0.01,0.03
19302,0.0,0.0,0.0,0.65,0.01,0.0,0.21
19303,0.26,0.0,0.0,0.0,0.01,0.28,0.61
19304,0.0,0.0,0.93,0.0,0.0,0.0,0.09
19305,0.0,0.0,0.97,0.0,0.0,0.0,0.02
19306,0.0,0.0,0.0,0.64,0.01,0.05,0.38
19307,0.02,0.02,0.03,0.0,0.02,0.4,0.42
19308,0.02,0.06,0.26,0.0,0.02,0.27,0.4
19309,0.17,0.0,0.02,0.0,0.02,0.36,0.43
19310,0.03,0.01,0.09,0.16,0.03,0.27,0.55
19311,0.01,0.05,0.02,0.0,0.11,0.36,0.54
19312,0.03,0.0,0.46,0.0,0.02,0.08,0.35
19313,0.06,0.08,0.09,0.0,0.02,0.28,0.5
19314,0.0,0.04,0.0,0.0,0.0,0.31,0.5
19315,0.0,0.0,0.03,0.83,0.01,0.0,0.22
19316,0.13,0.02,0.05,0.0,0.03,0.53,0.21
19317,0.03,0.09,0.0,0.13,0.01,0.36,0.62
19318,0.0,0.07,0.0,0.4,0.02,0.21,0.46
19319,0.0,0.21,0.0,0.03,0.0,0.31,0.37
19320,0.0,0.0,0.8,0.0,0.0,0.0,0.14
19321,0.24,0.0,0.0,0.0,0.01,0.25,0.39
19322,0.01,0.03,0.0,0.0,0.0,0.38,0.36
19323,0.02,0.05,0.01,0.0,0.0,0.54,0.48
19324,0.25,0.03,0.0,0.0,0.01,0.44,0.3
19325,0.01,0.02,0.07,0.0,0.05,0.23,0.48
